"Id";"Name";"State"
1;"Mads/Bruno";0
2;"Flemming/Antonio";0
3;"Caroline/Curtis";0
4;"Peter/Niels";0
5;"Tim/Kim";0
6;"John/Henrik";0
7;"Bosse/Asser";0
8;"Stefano/Kyller";0
9;"Mads/Flemming";0
10;"Nana/Jakob";0
11;"Bruno/Antonio";0
12;"Caroline/Peter";0
13;"Curtis/Niels";0
14;"Tim/John";0
15;"Kim/Henrik";0
16;"Bosse/Stefano";0
17;"Asser/Nana";0
18;"Kyller/Jakob";0
19;"Mads/Antonio";0
20;"Bruno/Flemming";0
21;"Caroline/Niels";0
22;"Curtis/Peter";0
23;"Tim/Henrik";0
24;"Kim/John";0
25;"Bosse/Kyller";0
26;"Asser/Stefano";0
27;"Mads/Nana";0
28;"Bruno/Jakob";0
29;"Flemming/Caroline";0
30;"Antonio/Curtis";0
31;"Peter/Tim";0
32;"Niels/Kim";0
33;"John/Bosse";0
34;"Henrik/Asser";0
35;"Stefano/Jakob";0
36;"Kyller/Nana";0
37;"Mads/Caroline";0
38;"Bruno/Curtis";0
39;"Flemming/Peter";0
40;"Antonio/Niels";0
41;"Tim/Bosse";0
42;"Kim/Asser";0
43;"John/Stefano";0
44;"Henrik/Kyller";0
45;"Mads/Jakob";0
46;"Bruno/Nana";0
47;"Flemming/Curtis";0
48;"Antonio/Caroline";0
49;"Peter/Kim";0
50;"Niels/Tim";0
51;"John/Asser";0
52;"Henrik/Bosse";0
53;"Mads/Kyller";0
54;"Stefano/Nana";0
55;"Bruno/Caroline";0
56;"Flemming/Jakob";0
57;"Antonio/Peter";0
58;"Curtis/Tim";0
59;"Niels/John";0
60;"Kim/Bosse";0
61;"Henrik/Stefano";0
62;"Asser/Kyller";0
63;"Flemming/Nana";0
64;"Antonio/Jakob";0
65;"Mads/Curtis";0
66;"Bruno/Peter";0
67;"Caroline/Tim";0
68;"Niels/Henrik";0
69;"Kim/Stefano";0
70;"John/Kyller";0
71;"Bosse/Nana";0
72;"Asser/Jakob";0
73;"Mads/Peter";0
74;"Bruno/Niels";0
75;"Flemming/Tim";0
76;"Antonio/Kim";0
77;"Caroline/John";0
78;"Curtis/Henrik";0
79;"Mads/Asser";0
80;"Bosse/Jakob";0
81;"Bruno/Stefano";0
82;"Flemming/Kyller";0
83;"Antonio/Tim";0
84;"Caroline/Nana";0
85;"Curtis/Kim";0
86;"Peter/John";0
87;"Niels/Bosse";0
88;"Henrik/Nana";0
89;"Mads/Stefano";0
90;"Bruno/Asser";0
91;"Antonio/Kyller";0
92;"Caroline/Jakob";0
93;"Flemming/Niels";0
94;"Curtis/John";0
95;"Peter/Henrik";0
96;"Tim/Asser";0
97;"Mads/Bosse";0
98;"Kim/Kyller";0
99;"Flemming/Stefano";0
100;"Antonio/Nana";0
101;"Bruno/Tim";0
102;"Curtis/Jakob";0
103;"Caroline/Kim";0
104;"Peter/Bosse";0
105;"Niels/Asser";0
106;"John/Nana";0
107;"Bruno/Kyller";0
108;"Henrik/Jakob";0
109;"Mads/Niels";0
110;"Antonio/Stefano";0
111;"Flemming/Kim";0
112;"Caroline/Henrik";0
113;"Curtis/Bosse";0
114;"Peter/Asser";0
115;"Tim/Stefano";0
116;"John/Jakob";0
117;"Caroline/Kyller";0
118;"Curtis/Nana";0
119;"Mads/Tim";0
120;"Bruno/Kim";0
121;"Flemming/John";0
122;"Antonio/Henrik";0
123;"Peter/Stefano";0
124;"Niels/Kyller";0
125;"Bruno/Bosse";0
126;"Flemming/Asser";0
127;"Peter/Nana";0
128;"Niels/Jakob";0
129;"Mads/Kim";0
