"Id";"Startdate";"Finishdate";"MaineventId";"ClubId";"PlayDate";"CurrentRound";"TotalRounds";"PointsToWin";"Name";"State"
3;"2023-05-31 18:00:59.483348";"2023-05-31 20:09:37.272057";1;1;"2023-06-05 00:00:00.000000";1;10;15;"EVK Sommer Beach 31 maj 2023";2
13;"2023-06-07 18:00:50.234866";"2023-06-07 20:00:48.491679";1;1;"2023-06-07 00:00:00.000000";1;10;15;"EVK Sommer Beach 7 jun. 2023";2
15;"2023-06-10 12:36:04.776174";"2023-06-10 16:36:18.832242";3;1;"2023-06-08 00:00:00.000000";1;15;15;"EVK Melby Beach Cup 10 jun. 2023";2
21;"2023-06-14 15:59:15.512265";"2023-06-14 21:52:49.897052";1;1;"2023-06-13 00:00:00.000000";7;1;15;"EVK Sommer Beach 14 jun. 2023";2
30;"2023-06-21 18:00:06.659510";"2023-06-21 20:00:26.545992";1;1;"2023-06-21 00:00:00.000000";5;1;15;"EVK Sommer Beach 21 jun. 2023";2
31;"2023-06-28 18:07:29.334648";"2023-06-28 19:50:12.619798";1;1;"2023-06-28 00:00:00.000000";7;1;15;"EVK Sommer Beach 28 Jun 2023";2
32;"2023-07-05 21:05:32.433810";"2023-07-05 21:09:11.920592";1;1;"2023-07-04 00:00:00.000000";7;1;15;"EVK Sommer Beach 5 Jul 2023";2
33;"2022-08-10 13:41:14.452045";"2022-09-21 15:47:54.939229";1;1;"2022-09-10 00:00:00.000000";27;1;15;"King of Frederiksberg Beach History";2
34;"2023-07-12 16:08:27.119395";"2023-07-12 17:41:12.462198";1;1;"2023-07-12 00:00:00.000000";12;1;15;"EVK Sommer Beach 12 Jul 2023";2
35;"2023-07-19 16:13:28.911469";"2023-07-19 17:45:55.407627";1;1;"2023-07-19 00:00:00.000000";5;1;15;"EVK Sommer Beach 19 Jul 2023";2
37;"2023-07-26 15:55:00.670458";"2023-07-26 17:38:11.185608";1;1;"2023-07-26 00:00:00.000000";7;1;15;"EVK Sommer Beach 26 Jul 2023";2
39;"2023-08-02 16:17:14.074087";"2023-08-02 20:13:34.102432";1;1;"2023-08-02 00:00:00.000000";2;1;15;"EVK Sommer Beach 2 Aug 2023";2
40;"2023-08-09 16:03:26.078326";"2023-08-09 17:54:21.762755";1;1;"2023-08-09 00:00:00.000000";8;1;15;"EVK Sommer Beach 9 Aug 2023";2
43;"2023-08-16 18:05:00.000000";"2023-08-16 20:05:00.000000";1;1;"2023-08-16 00:00:00.000000";8;1;15;"EVK Sommer Beach 16 Aug 2023";2
45;"2023-08-23 16:01:44.876385";"2023-08-23 17:39:37.327889";1;1;"2023-08-23 00:00:00.000000";7;1;15;"EVK Sommer Beach 23 Aug 2023";2
47;"2023-08-30 19:00:38.642038";"2023-08-30 19:02:01.113202";1;1;"2023-08-30 00:00:00.000000";1;1;15;"EVK Sommer Beach 30 Aug 2023";2
48;"2023-09-06 16:09:41.037517";"2023-09-06 17:47:15.780514";1;1;"2023-09-06 00:00:00.000000";1;1;15;"EVK Sommer Beach 6 Sep 2023";2
49;"2023-09-13 16:00:10.104678";"2023-09-13 18:00:03.630910";1;1;"2023-09-13 00:00:00.000000";6;1;15;"EVK Sommer Beach 13 Sep 2023";2
51;"2023-09-19 16:44:39.921617";"2023-09-19 17:56:58.961146";2;1;"2023-09-19 00:00:00.000000";7;1;15;"EVK Vinter Beach 19 Sep 2023";2
52;"2023-09-26 16:31:31.714213";"2023-09-27 08:34:53.472059";2;1;"2023-09-26 00:00:00.000000";7;1;15;"EVK Vinter Beach 26 Sep 2023";2
54;"2023-10-03 13:52:00.000000";"2023-10-03 13:59:00.000000";2;1;"2023-10-03 00:00:00.000000";6;1;21;"EVK Vinter Beach 3 Oct 2023";2
55;"2023-10-10 16:45:48.212615";"2023-10-10 18:05:29.350226";2;1;"2023-10-10 00:00:00.000000";7;1;15;"EVK Vinter Beach 10 Oct 2023";2
56;"2023-10-17 16:34:20.835246";"2023-10-17 18:11:56.003182";2;1;"2023-10-17 00:00:00.000000";8;1;15;"EVK Vinter Beach 17 Oct 2023";2
